x,y,z
0.357976,0.268658,0.667175
-0.453285,0.854693,-0.131278
-0.0738212,-0.625953,0.0364067
-1.38674,0.309468,-0.0266904
-6.14446,-1.23535,0.0336749
-0.816147,0.557892,-0.0325911
2.16077,0.211218,-0.0010485
7.58049,2.04747,-0.133816
-0.791197,-0.233022,-0.00871987
0.39327,-1.45684,-0.375403
-0.668629,-2.39288,-0.00936124
4.7778,1.39848,0.0581432
0.50613,-0.772353,-0.0203236
1.89465,1.29408,-0.166048
-1.91914,2.6344,0.181964
1.37622,0.126848,0.066865
-1.17812,1.68839,-0.0918009
-0.47581,9.19206,-0.126165
-0.770267,-0.206287,0.198981
-5.08308,3.00737,-0.0805057
-6.82464,-4.94343,0.150542
0.199492,0.327802,0.18964
-9.44306,3.47637,0.160907
-0.192381,0.0889279,0.163067
0.226485,1.43241,0.241979
-0.930733,0.219651,0.0898282
-0.643167,-0.0782535,0.654158
0.332792,0.348657,-0.320729
-0.337406,3.82461,0.0455014
0.266216,-0.527987,0.0980094
1.28069,4.03322,0.0355889
-1.41052,0.595504,-0.0669476
-0.277764,-0.998986,0.0275221
1.22473,-0.588152,-0.538232
-0.579877,-0.0954087,-0.0184398
5.79216,0.574812,-0.103173
3.34882,0.112532,0.111336
-0.875685,-0.763785,-0.332927
-0.695256,-1.3887,-0.0169151
-2.47723,-1.15591,-0.0314406
-1.61022,-1.78245,0.0958288
-4.06751,0.149635,-0.0120962
0.562313,0.327246,0.00291678
0.469111,-0.177469,-0.259696
0.118103,0.0553945,0.0153441
0.53713,-1.35022,-0.133601
-2.60755,0.794821,-0.0389162
0.0845363,-0.200355,-0.996609
-0.302032,-0.360606,-0.205035
0.107284,0.484512,0.22231
1.24252,0.843372,0.104091
1.61262,0.716299,0.0164318
-2.55135,-6.52526,-0.0106419
3.41146,-0.514271,-0.101303
0.746009,-0.301604,-0.318263
-1.85439,-1.71941,-0.0354062
-2.24919,-4.04949,-0.0863865
0.246827,-0.92279,-0.197908
3.50087,1.26592,0.136727
-0.0558012,-0.385509,0.16684
10.8227,0.592617,0.00205454
-5.36545,-5.75558,-0.0448717
5.90729,-0.921425,0.109043
0.0899425,-0.529009,-0.048885
-0.139216,0.425535,0.750286
